date,y_log,log_spy_rv_5d,log_spy_rv_10d,log_spy_rv_20d,log_vix_close,vix_chg_1d,log_qqq_rv_5d,spy_ret_neg,log_spy_hl_range,log_abs_spy_ret,log_abs_spy_gap,log_vix_hl_range,log_vix_close_lag1,log_spy_hl_range_lag1
2019-04-30,-1.883431246222334,-3.1944640197207,-2.9282364786143025,-2.9678482226505665,2.5741377755555073,0.0007627939850283,-2.5986968061915388,0.0,-4.799886061678669,-7.580278559943126,-6.650700919609388,-2.4171338486384117,2.5733752723505314,-5.643905721026977
2019-05-01,-1.8991165684647073,-2.6396415815138377,-2.6611266979514006,-2.806749755655435,2.694627194333236,0.1280488048650765,-2.5969231579552123,-0.0075164666949749,-4.52869176750616,-4.890657775416737,-6.04030106014112,-1.957462983858892,2.5741377755555073,-4.799886061678669
2019-05-02,-1.9001151348830874,-2.6217737035339908,-2.6659279339675788,-2.79049539729547,2.6686161378411266,-0.025675683077275,-2.7672270640997114,-0.0021589557865848,-4.51705220156362,-6.1381259744556225,-7.716263720491332,-1.9172000344264217,2.694627194333236,-4.52869176750616
2019-05-03,-2.0745089623786,-2.302624260842777,-2.4828546574288093,-2.67428500447542,2.554899013492968,-0.1074896104392548,-1.912967611297363,0.0,-4.571820505353069,-4.626619449947441,-5.179234658250974,-2.2547947487876034,2.6686161378411266,-4.51705220156362
2019-05-06,-1.6320174115981523,-2.2632698177738813,-2.430452167155604,-2.659471939647257,2.736961518067051,0.1996891777526674,-1.8726701380036774,-0.0041151972931386,-4.195681926919175,-5.493066071118577,-4.119240892545973,-0.9603158470609844,2.554899013492968,-4.571820505353069
2019-05-07,-1.5594193401093623,-1.883431246222334,-2.1823293843368368,-2.370503652732771,2.9611408135061223,0.2512953510290572,-1.604495289538006,-0.0166997285913702,-4.053278881306183,-4.092362212893305,-4.697473512566495,-1.16273677537077,2.736961518067051,-4.195681926919175
2019-05-08,-1.5139904638364325,-1.8991165684647073,-2.182631861675777,-2.3891084709915003,2.9652730469213586,0.0041407828659278,-1.6039517085933774,-0.0013892053855424,-4.721319770392958,-6.57901616204598,-6.579016162045991,-1.726899090843587,2.9611408135061223,-4.053278881306183
2019-05-09,-1.4604368857336527,-1.9001151348830874,-2.1820847889886776,-2.3921562059757475,2.949688355548381,-0.0154638785030698,-1.6015955894960983,-0.0030257542547944,-4.264530072900514,-5.800591573195987,-4.8284221327217445,-1.4433915313255419,2.9652730469213586,-4.721319770392958
2019-05-10,-1.45531719190997,-2.0745089623786,-2.176741291793093,-2.3714961134875923,2.7750856601395726,-0.1602093929228979,-2.084238096041185,0.0,-3.770193059815495,-5.293650057573585,-5.619065171559861,-1.24469073805164,2.949688355548381,-4.264530072900514
2019-05-13,-2.05047361020926,-1.6320174115981523,-1.8289503407229741,-2.0737284202635373,3.0228609043028536,0.2811719491342017,-1.4460976909806607,-0.0251302346357873,-4.368095624376172,-3.683683192663542,-3.9263572127999464,-1.9342991130034974,2.7750856601395726,-3.770193059815495
2019-05-14,-2.0512007741934144,-1.5594193401093623,-1.7532423642821362,-2.030487039284994,2.893699518971252,-0.121167876572356,-1.300854784225866,0.0,-4.46820343737858,-4.705687721473493,-5.515631833123687,-2.105242596148449,3.0228609043028536,-4.368095624376172
2019-05-15,-2.05374016379465,-1.5139904638364325,-1.7274597100316111,-2.013796632559116,2.7997174227215624,-0.0897009401877206,-1.1739445094907455,0.0,-4.168823509599845,-5.140037790040211,-5.053532243539526,-1.7917595252468237,2.893699518971252,-4.46820343737858
2019-05-16,-2.0741989464733286,-1.4604368857336527,-1.6768567208052736,-1.9803660126501694,2.7271990181000962,-0.0699513707327571,-1.1391852905271957,0.0,-4.423548555445774,-4.681914130302794,-5.901158945551614,-2.0491657456330197,2.7997174227215624,-4.168823509599845
2019-05-17,-2.04382903820278,-1.45531719190997,-1.7262522205724449,-1.9700775143545934,2.7700855950383905,0.043819494961774,-1.1138953183457736,-0.0064651226632627,-4.408395928754799,-5.041331746742604,-4.721910884341911,-2.102256237802765,2.7271990181000962,-4.423548555445774
2019-05-20,-1.9906000190654929,-2.05047361020926,-1.7208180291969861,-1.9599869445030298,2.7917783845018604,0.0219297886565699,-1.4954876195222913,-0.0066120352472479,-4.604994446791586,-5.018862255845337,-5.078817916545403,-2.0170515454978895,2.7700855950383905,-4.408395928754799
2019-05-21,-2.414788960905836,-2.0512007741934144,-1.7707864314804125,-1.9598256311807682,2.704711287747407,-0.0833844084125888,-1.5015867570429025,0.0,-5.335684360061615,-4.708790795316657,-5.017538557686391,-2.3470371917567814,2.7917783845018604,-4.604994446791586
2019-05-22,-2.224653990755536,-2.05374016379465,-1.7680230662589347,-1.9589364581442308,2.691243083463795,-0.0133779138338977,-1.6419382991780809,-0.003071462960517,-5.190963774626903,-5.785598040746917,-5.5995041658093125,-2.6714407970687692,2.704711287747407,-5.335684360061615
2019-05-23,-2.1727381515082977,-2.0741989464733286,-1.7132371474739285,-1.9214952805677867,2.8284963592781924,0.1471186492402674,-1.741613117899066,-0.0122185700896755,-4.671629478745321,-4.4047975275974895,-4.7504774828135,-1.8096491564340162,2.691243083463795,-5.190963774626903
2019-05-24,-2.3132977819840392,-2.04382903820278,-1.7260097562953831,-1.9292513378674385,2.763169525021695,-0.0632387523640356,-1.7230621090408793,0.0,-4.897972397288889,-6.088710943496102,-5.172413319824693,-2.763169365890789,2.8284963592781924,-4.671629478745321
2019-05-28,-1.5527555147162013,-1.9906000190654929,-2.0279663185588723,-1.9171606835238748,2.862200881500897,0.104100919799301,-1.9207010459438005,-0.009300533609752,-4.244045285622749,-4.677682427869712,-6.81585094091921,-2.274413483022517,2.763169525021695,-4.897972397288889
2019-05-29,-1.5726751691135068,-2.414788960905836,-2.086718163418936,-1.9146289292536969,2.8848006920942106,0.0228571210588728,-2.409886570514411,-0.0067107082768924,-4.65403343904014,-5.00404928799096,-5.4202193888534085,-2.5341436401379323,2.862200881500897,-4.244045285622749
2019-05-30,-1.56815120748342,-2.224653990755536,-2.12356003931716,-1.9142599964112332,2.8507064579812207,-0.0335195750981245,-2.1335069612144744,0.0,-4.829311535234566,-5.903012160783761,-5.802946259960852,-2.5214016527093035,2.8848006920942106,-4.65403343904014
2019-05-31,-1.9810180381256057,-2.1727381515082977,-2.177055718860413,-1.8786997859795285,2.9290580918879563,0.0815028849476229,-2.102766876059132,-0.0134752886143938,-4.986476555992696,-4.306897001809703,-4.591046345710331,-2.392565146819915,2.8507064579812207,-4.829311535234566
2019-06-03,-2.2399442324380696,-2.3132977819840392,-2.1797651886430995,-1.9279274615351163,2.937043310097758,0.0080171850998853,-1.8159578479394793,-0.0025428914062199,-4.373939351230427,-5.9744495639504995,-8.836345818473381,-2.4733090787518357,2.9290580918879563,-4.986476555992696
2019-06-04,-2.754355564666232,-1.5527555147162013,-1.773032323991502,-1.7693394589684455,2.831447039373093,-0.100212154604052,-1.1538737428862482,0.0,-4.235497603521411,-3.8301367561700017,-4.679116615385491,-2.260467137698897,2.937043310097758,-4.373939351230427
2019-06-05,-2.565794854238337,-1.5726751691135068,-1.7764822303946408,-1.7999712733865614,2.778197971109195,-0.051856169497549,-1.1459576904922015,0.0,-4.663232383216285,-4.748791269050678,-5.048899225059604,-2.4066350923376296,2.831447039373093,-4.235497603521411
2019-06-06,-2.6117914298355918,-1.56815120748342,-1.7542208227654281,-1.787943429237723,2.7682041437070026,-0.0099440550587177,-1.133667071419128,0.0,-4.559869434580492,-5.035540395528904,-6.753907779091708,-2.602688502780286,2.778197971109195,-4.663232383216285
2019-06-07,-3.041630565681544,-1.9810180381256057,-1.7971487065375809,-1.766257704570653,2.791165061620111,0.0232265489514493,-1.2015506731376955,0.0,-4.527115688380617,-4.604465001517797,-5.529562662548323,-2.686804348969503,2.7682041437070026,-4.559869434580492
2019-06-10,-3.309713891990357,-2.2399442324380696,-1.7940190473818927,-1.7671631914085206,2.7688316476646597,-0.02208586954156,-1.968109671512183,0.0,-4.998485766260989,-5.384104977705165,-5.119417769173424,-3.230868185735087,2.791165061620111,-4.527115688380617
2019-06-11,-2.5245228412605543,-2.754355564666232,-1.8674016864367469,-1.949641916007425,2.7719635131571927,0.0031367749091033,-2.2572930701681595,-0.0002422650237845,-4.496697950484646,-8.325437015172167,-4.963229377546803,-2.589641186705267,2.7688316476646597,-4.998485766260989
